,Unnamed: 0,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature,genre,song_name,title,text_feature
21466,21466,0.618,0.968,11,-5.898,1,0.04,0.0033299999999999,0.911,0.103,0.0504,130.007,audio_features,391947,4,trance,,Best of Trance,Best of Trance 
892,892,0.727,0.49,6,-9.284,1,0.0268,0.0758,0.000171,0.107,0.227,172.028,audio_features,157674,4,Dark Trap,Spine,, Spine
24708,24708,0.6509999999999999,0.622,11,-11.199000000000002,0,0.031,0.0194,0.00673,0.291,0.291,135.029,audio_features,277200,3,psytrance,,Psytrance New Releases 2020,Psytrance New Releases 2020 
1225,1225,0.914,0.515,1,-9.934,1,0.356,0.0031,0.0,0.105,0.215,150.016,audio_features,162214,4,Dark Trap,4Peat,, 4Peat
11776,11776,0.55,0.6920000000000001,6,-7.438,0,0.369,0.299,6.57e-06,0.198,0.593,146.453,audio_features,361942,4,Rap,P&P 1.5,, P&P 1.5
17450,17450,0.846,0.88,9,-6.182,1,0.0505,0.00747,0.033,0.107,0.581,127.011,audio_features,181437,4,techhouse,,Beatoirt Best New Tech House,Beatoirt Best New Tech House 
30075,30075,0.622,0.674,11,-4.181,0,0.0433,0.00843,0.239,0.12,0.1159999999999999,174.02,audio_features,275862,4,dnb,,Liqduicity Drum & Bass,Liqduicity Drum & Bass 
6095,6095,0.725,0.63,11,-9.671,0,0.245,0.0687,0.0,0.186,0.363,154.966,audio_features,173714,4,Underground Rap,Change Clothes,, Change Clothes
32606,32606,0.561,0.975,7,-3.407,1,0.1639999999999999,0.00215,0.096,0.665,0.142,149.894,audio_features,244609,4,hardstyle,,Best Hardstyle ever made,Best Hardstyle ever made 
19062,19062,0.774,0.6629999999999999,7,-11.11,1,0.0543,0.0909,0.908,0.11,0.0343,129.996,audio_features,329538,4,techno,,Acid Techno,Acid Techno 
9007,9007,0.7809999999999999,0.504,10,-7.72,0,0.0361,0.118,0.146,0.114,0.0793,124.032,audio_features,247989,4,Trap Metal,Vices,, Vices
23109,23109,0.53,0.695,4,-16.829,0,0.1369999999999999,5.290000000000001e-05,0.772,0.307,0.158,137.957,audio_features,226096,4,trance,,State if Trance (The best ASOT Epsidoes),State if Trance (The best ASOT Epsidoes) 
32405,32405,0.3670000000000001,0.913,7,-6.303,1,0.0725,0.00765,0.00469,0.132,0.125,150.032,audio_features,163600,4,hardstyle,,Euphoric Hardstyle,Euphoric Hardstyle 
25472,25472,0.6409999999999999,0.981,7,-6.346,1,0.0434,5.88e-06,0.8390000000000001,0.1939999999999999,0.331,141.997,audio_features,419155,4,psytrance,,Psytrance 2020,Psytrance 2020 
21470,21470,0.6759999999999999,0.903,2,-4.277,0,0.0524,0.00421,0.636,0.593,0.252,131.988,audio_features,378264,4,trance,,Trance List | TOP Trance,Trance List | TOP Trance 
8247,8247,0.519,0.812,5,-5.252999999999999,0,0.0955,0.00376,4.9000000000000005e-06,0.166,0.125,139.923,audio_features,192496,4,Trap Metal,DeathPunch,, DeathPunch
16444,16444,0.853,0.693,1,-6.87,1,0.275,0.0239,0.0,0.11,0.662,191.93400000000003,audio_features,233787,4,Hiphop,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",," F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)"
23578,23578,0.3379999999999999,0.926,6,-6.4510000000000005,1,0.0535,0.00237,0.0035,0.401,0.0773,137.97899999999998,audio_features,239500,4,trance,,Uplifting | Trance,Uplifting | Trance 
14871,14871,0.491,0.956,11,-1.538,1,0.392,0.0295,0.0,0.46,0.8109999999999999,173.585,audio_features,276920,4,Hiphop,Empire State Of Mind,, Empire State Of Mind
12333,12333,0.588,0.877,8,-4.78,1,0.16,0.00952,0.0,0.171,0.645,155.165,audio_features,326187,4,RnB,Knock You Down,, Knock You Down
19755,19755,0.6809999999999999,0.8690000000000001,7,-9.92,1,0.0525,0.00554,0.866,0.179,0.2269999999999999,126.976,audio_features,404409,4,techno,,Dark Techno,Dark Techno 
28985,28985,0.518,0.718,7,-2.544,1,0.0381,0.000594,0.374,0.158,0.0434,170.054,audio_features,273806,4,dnb,,UKF Drum & Bass - All Uploads,UKF Drum & Bass - All Uploads 
3742,3742,0.611,0.654,2,-10.329,0,0.198,0.0838,4.5e-05,0.5379999999999999,0.279,151.982,audio_features,145319,4,Underground Rap,Motorola,, Motorola
226,226,0.7909999999999999,0.735,5,-4.763999999999999,0,0.16,0.0427,0.0,0.134,0.4970000000000001,144.985,audio_features,211853,4,Dark Trap,Underdog (Lil Baby & Gunna),, Underdog (Lil Baby & Gunna)
26312,26312,0.353,0.967,2,-2.7880000000000003,0,0.0968,0.00151,0.00832,0.335,0.206,150.16,audio_features,369017,4,trap,,Headbangers:Dubstep/Riddim,Headbangers:Dubstep/Riddim 
13935,13935,0.66,0.8390000000000001,2,-2.0580000000000003,1,0.0546,0.0594,0.0,0.106,0.945,126.001,audio_features,198947,4,Pop,Live While We're Young,, Live While We're Young
31639,31639,0.413,0.921,8,-5.755,1,0.638,0.00118,0.000242,0.6940000000000001,0.0675,154.977,audio_features,198320,4,hardstyle,,Best Hardstyle ever made,Best Hardstyle ever made 
17683,17683,0.8079999999999999,0.939,10,-7.057,0,0.057,7.01e-05,0.913,0.0233,0.452,126.981,audio_features,397433,4,techhouse,,Beatoirt Best New Tech House,Beatoirt Best New Tech House 
6883,6883,0.8759999999999999,0.589,2,-7.587999999999999,1,0.291,0.103,0.0,0.1,0.857,174.94400000000005,audio_features,164654,4,Underground Rap,Feel It,, Feel It
29082,29082,0.695,0.84,6,-1.924,0,0.258,0.00234,0.604,0.6,0.447,174.015,audio_features,251015,4,dnb,,UKF Drum & Bass - All Uploads,UKF Drum & Bass - All Uploads 
21784,21784,0.664,0.894,4,-4.497,0,0.155,0.0052899999999999,0.12,0.0613,0.374,132.006,audio_features,462268,4,trance,,Vocal Melodic Trance Top 1000,Vocal Melodic Trance Top 1000 
16134,16134,0.7909999999999999,0.821,6,-3.4410000000000003,1,0.236,0.0254,0.0299,0.228,0.782,183.78,audio_features,278493,4,Hiphop,Me Against The World,, Me Against The World
26311,26311,0.722,0.743,11,-4.084,1,0.1009999999999999,0.353,0.0146,0.0834,0.038,144.941,audio_features,275315,4,trap,,RIDDIM 2020 & Riddim Hits,RIDDIM 2020 & Riddim Hits 
9405,9405,0.6829999999999999,0.78,1,-3.935,1,0.0779,0.00748,0.000288,0.197,0.092,149.988,audio_features,120308,4,Trap Metal,I Broke the Keyboard Again,, I Broke the Keyboard Again
25075,25075,0.522,0.964,6,-5.231,0,0.0658,0.0002109999999999,0.6990000000000001,0.42,0.221,148.025,audio_features,480000,4,psytrance,,PsyTrance 2020 felipe,PsyTrance 2020 felipe 
305,305,0.655,0.555,5,-10.95,1,0.148,0.0499,0.0988,0.498,0.068,119.894,audio_features,152000,4,Dark Trap,LIBERATE MY SOUL AS I REGAIN MY SANITY.,, LIBERATE MY SOUL AS I REGAIN MY SANITY.
8992,8992,0.684,0.8,11,-5.563,0,0.185,0.0293,1.34e-06,0.108,0.433,153.958,audio_features,127869,4,Trap Metal,Slenderman,, Slenderman
16445,16445,0.758,0.7559999999999999,10,-5.059,0,0.138,0.0294,0.0,0.0906,0.406,145.06799999999996,audio_features,222180,4,Hiphop,King of Everything,, King of Everything
19772,19772,0.665,0.3379999999999999,7,-12.385,1,0.0661,0.000237,0.926,0.1119999999999999,0.602,129.994,audio_features,362000,4,techno,,Dark Techno Rave,Dark Techno Rave 
3719,3719,0.6779999999999999,0.652,11,-7.92,1,0.449,0.122,0.0,0.0632,0.843,139.97799999999998,audio_features,113786,4,Underground Rap,SPMO!,, SPMO!
28188,28188,0.3229999999999999,0.7170000000000001,0,-0.151,1,0.1969999999999999,0.00214,0.00988,0.3279999999999999,0.285,145.792,audio_features,172800,4,trap,,Riddim or die,Riddim or die 
25292,25292,0.518,0.8690000000000001,11,-6.688,1,0.0579999999999999,0.00614,0.813,0.0719,0.0876,144.993,audio_features,407172,4,psytrance,,Psytrance Can,Psytrance Can 
17543,17543,0.7959999999999999,0.903,7,-7.721,1,0.0425,0.000125,0.8909999999999999,0.103,0.469,123.002,audio_features,417049,4,techhouse,,Tech House by DOT Dance,Tech House by DOT Dance 
19504,19504,0.86,0.636,1,-9.807,1,0.0752,0.136,0.8220000000000001,0.0739,0.126,123.996,audio_features,383449,4,techno,,Techno / Minimal / Hardcore/ Melodic / Dark,Techno / Minimal / Hardcore/ Melodic / Dark 
23403,23403,0.482,0.972,10,-8.568999999999999,0,0.0641,0.0005139999999999,0.816,0.614,0.177,137.996,audio_features,417391,4,trance,,Top Trance Songs EVER,Top Trance Songs EVER 
12023,12023,0.552,0.583,4,-8.497,1,0.238,0.515,0.0,0.235,0.71,88.44,audio_features,236905,4,Rap,Heart Of A Hustler,, Heart Of A Hustler
32711,32711,0.479,0.998,8,-1.039,1,0.581,0.136,0.000178,0.421,0.0497,155.003,audio_features,215528,4,hardstyle,,Best Hardstyle ever made,Best Hardstyle ever made 
26868,26868,0.527,0.951,9,-2.146,0,0.439,0.16,0.0,0.1669999999999999,0.532,149.825,audio_features,184000,4,trap,,I'm a fucking Headbanger,I'm a fucking Headbanger 
1034,1034,0.648,0.632,7,-7.82,0,0.0696,0.67,0.000232,0.121,0.157,162.066,audio_features,108173,4,Dark Trap,Zoom (Nascar!),, Zoom (Nascar!)
17986,17986,0.7340000000000001,0.95,11,-6.888999999999999,0,0.0604,0.00336,0.867,0.186,0.8290000000000001,125.0,audio_features,201120,4,techhouse,,Tech House Club,Tech House Club 
9529,9529,0.68,0.901,1,-1.271,1,0.0869,0.0428,0.00361,0.139,0.0523,130.029,audio_features,123692,4,Trap Metal,Anal Probe,, Anal Probe
29832,29832,0.375,0.983,2,-2.235,1,0.0508,0.00297,0.691,0.107,0.157,173.975,audio_features,204483,4,dnb,,Drum and Bass 2020 (Drum & Bass Music - DNB Hits),Drum and Bass 2020 (Drum & Bass Music - DNB Hits) 
23188,23188,0.358,0.601,5,-8.184,0,0.0502,0.0139999999999999,0.0605,0.221,0.34,128.035,audio_features,220416,4,trance,,Progressive Trance,Progressive Trance 
28296,28296,0.6559999999999999,0.962,2,-6.8820000000000014,1,0.0967,0.0317,0.162,0.326,0.157,150.054,audio_features,214755,4,trap,,HEADBANGERS:Dubstep/Riddim,HEADBANGERS:Dubstep/Riddim 
20259,20259,0.66,0.899,2,-12.517,1,0.0328,0.285,0.926,0.1119999999999999,0.0486,129.004,audio_features,478124,3,techno,,Techno,Techno 
32504,32504,0.5329999999999999,0.925,2,-6.596,1,0.149,0.00116,0.00519,0.753,0.284,149.98,audio_features,341239,4,hardstyle,,Euphoric Hardstyle & Melodic Hardstyle,Euphoric Hardstyle & Melodic Hardstyle 
436,436,0.782,0.546,11,-5.152,0,0.0918,0.0128,0.0423,0.348,0.505,130.72799999999998,audio_features,143255,4,Dark Trap,Amaterasu,, Amaterasu
30545,30545,0.629,0.904,10,-3.004,0,0.104,0.0024,0.893,0.322,0.414,173.998,audio_features,253893,4,dnb,,Drum and Bass 2020,Drum and Bass 2020 
32621,32621,0.423,0.906,1,-4.584,0,0.0606,0.0182,0.000513,0.351,0.177,149.85,audio_features,214600,4,hardstyle,,Euphoric Hardstyle - 2020,Euphoric Hardstyle - 2020 
21131,21131,0.6709999999999999,0.936,5,-8.993,1,0.0404,0.00624,0.91,0.102,0.0679,130.009,audio_features,417231,4,techno,,Techno Top 50,Techno Top 50 
22043,22043,0.3939999999999999,0.897,7,-9.145,0,0.0645,0.000535,0.56,0.286,0.042,138.149,audio_features,318043,4,trance,,State if Trance (The best ASOT Epsidoes),State if Trance (The best ASOT Epsidoes) 
8989,8989,0.6459999999999999,0.7879999999999999,1,-4.397,1,0.0339,0.0586,0.00347,0.133,0.275,148.045,audio_features,157361,4,Trap Metal,"If You Were To Get What You Deserve, You Would Know What The Bottom Of A Tire Tastes Like",," If You Were To Get What You Deserve, You Would Know What The Bottom Of A Tire Tastes Like"
18377,18377,0.7859999999999999,0.8170000000000001,9,-7.117999999999999,1,0.046,0.000334,0.0106,0.31,0.477,124.004,audio_features,230223,4,techhouse,,Tech House Top 50,Tech House Top 50 
2458,2458,0.7120000000000001,0.6709999999999999,10,-8.66,1,0.057,0.8640000000000001,0.946,0.0981,0.491,144.966,audio_features,119172,4,Dark Trap,Fruit Punch,, Fruit Punch
19328,19328,0.731,0.867,11,-9.907,0,0.0448,0.00125,0.905,0.109,0.0296,132.005,audio_features,436364,4,techno,,Dark Techno Rave,Dark Techno Rave 
14753,14753,0.458,0.595,11,-9.912,0,0.217,0.117,0.0,0.506,0.502,179.142,audio_features,213622,4,Hiphop,I Know There's Gonna Be (Good Times),, I Know There's Gonna Be (Good Times)
31693,31693,0.345,0.8,11,-4.96,0,0.0334,0.000814,8.400000000000001e-06,0.263,0.19,149.96,audio_features,171968,4,hardstyle,,Euphoric Hardstyle,Euphoric Hardstyle 
9656,9656,0.57,0.843,10,-4.797,1,0.0543,0.0481,0.0,0.0936,0.7090000000000001,124.981,audio_features,203560,4,Emo,The Permanent Rain,, The Permanent Rain
1738,1738,0.737,0.586,4,-3.901,1,0.0638,0.00123,0.000169,0.293,0.146,144.042,audio_features,135000,5,Dark Trap,Stop Calling Us Horrorcore,, Stop Calling Us Horrorcore
12094,12094,0.6890000000000001,0.61,10,-9.004,0,0.217,0.0836,0.0,0.36,0.119,134.923,audio_features,235680,4,Rap,Wasted (feat. Juicy J),, Wasted (feat. Juicy J)
981,981,0.8859999999999999,0.642,0,-5.1610000000000005,1,0.048,0.5529999999999999,1.4300000000000004e-05,0.106,0.932,205.958,audio_features,167767,4,Dark Trap,RA,, RA
2168,2168,0.652,0.769,8,-7.01,1,0.0353,0.088,0.862,0.132,0.773,140.00799999999998,audio_features,206571,4,Dark Trap,Chronos,, Chronos
15708,15708,0.522,0.68,3,-9.463,0,0.391,0.285,0.162,0.0947,0.4,169.782,audio_features,202493,5,Hiphop,Time,, Time
6363,6363,0.923,0.7340000000000001,6,-7.576,1,0.262,0.0184,0.0,0.145,0.477,200.09,audio_features,145200,4,Underground Rap,Cognac,, Cognac
8904,8904,0.642,0.556,10,-9.31,0,0.0989,0.0314,0.0043799999999999,0.0734,0.0671,157.476,audio_features,188389,3,Trap Metal,Trees of the Valley,, Trees of the Valley
25210,25210,0.561,0.912,7,-7.581,1,0.0364,0.000381,0.679,0.816,0.299,148.003,audio_features,384120,4,psytrance,,Psy Trance Full-on Morning,Psy Trance Full-on Morning 
21551,21551,0.775,0.687,9,-6.494,0,0.0853,0.00227,0.606,0.109,0.1009999999999999,130.009,audio_features,470371,4,trance,,Vocal Melodic Trance Top 1000,Vocal Melodic Trance Top 1000 
30518,30518,0.4,0.949,6,-2.128,0,0.0699,0.000161,0.69,0.384,0.11,174.005,audio_features,306750,4,dnb,,UKF Drum & Bass - All Uploads,UKF Drum & Bass - All Uploads 
30901,30901,0.495,0.8909999999999999,1,-5.599,0,0.0504,0.00187,0.1119999999999999,0.322,0.2239999999999999,149.982,audio_features,142400,4,hardstyle,,Euphoric Hardstyle,Euphoric Hardstyle 
15362,15362,0.545,0.423,7,-11.062,1,0.394,0.00217,2.6e-06,0.218,0.33,150.725,audio_features,140931,4,Hiphop,BEN CARSON,, BEN CARSON
9310,9310,0.75,0.715,7,-3.987,1,0.125,0.0453,0.00685,0.15,0.672,170.00400000000005,audio_features,71085,4,Trap Metal,Intro,, Intro
4130,4130,0.816,0.289,1,-12.66,1,0.495,0.0596,1.77e-05,0.135,0.346,179.951,audio_features,178690,4,Underground Rap,catch a clue,, catch a clue
2355,2355,0.597,0.473,7,-11.784,1,0.0531,0.123,0.742,0.08,0.229,139.984,audio_features,264960,4,Dark Trap,Of Villainy,, Of Villainy
759,759,0.633,0.362,2,-12.772,1,0.0706,0.0302,0.0,0.272,0.171,145.131,audio_features,225698,4,Dark Trap,Hopefully Someday,, Hopefully Someday
10032,10032,0.36,0.505,11,-5.485,1,0.0314,0.616,0.0,0.326,0.382,138.252,audio_features,290787,4,Emo,Three Cheers For Five Years,, Three Cheers For Five Years
